UID;gender;surname;name;fullname;birthdate;mandate_uid;mandate_type
PA605830;Mme;Kheira;Bouziane-Laroussi;Bouziane;23/08/53;PM645454;ASSEMBLEE
PA268040;M.;Jacques;Cornano;CORNANO_JACQUES_11114F;18/11/56;PM429979;SENAT
PA268048;M.;Victorin;Lurel;LUREL VICTORIN;20/08/51;PM591212;MINISTERE
PA1144;M.;Claude;Domeizel;DOMEIZEL;16/05/40;PM421477;ORGAINT
PA267081;Mme;Pascale;Gruny;GRUNY_Pascale;18/02/60;PM713943;CMP
PA267080;M.;Xavier;Bertrand;Bertrand X;21/03/65;PM645531;ASSEMBLEE
PA1142;M.;Éric;Doligé;DOLIGE;25/05/43;PM318279;COMSENAT
PA1761;M.;Christian;Kert;Kert;25/07/46;PM711253;MISINFO
PA2960;M.;Éric;Woerth;Woerth;29/01/56;PM645040;ASSEMBLEE
PA1789;Mme;Conchita;Lacuey;Lacuey;30/09/43;PM645426;ASSEMBLEE
PA608235;Mme;Nathalie;Chabanne;Chabanne;03/01/73;PM645229;ASSEMBLEE
PA643069;M.;Christophe;Premat;Premat;07/12/76;PM714441;MISINFOPRE
PA695;M.;Vincent;Burroni;Burroni;01/10/47;PM645503;ASSEMBLEE
PA543;M.;Patrick;Bloche;Bloche;04/07/56;PM645064;ASSEMBLEE
PA606507;M.;Florent;Boudié;Boudie;22/09/73;PM645406;ASSEMBLEE
PA344545;M.;Éric;Elkouby;Elkouby;24/06/73;PM713452;ASSEMBLEE
PA267260;Mme;Bérengère;Poletti;Poletti;14/10/59;PM645459;ASSEMBLEE
PA765;M.;Laurent;Cathala;Cathala;21/09/45;PM645138;ASSEMBLEE
PA267266;M.;Yves;Censi;Censi;08/02/64;PM645489;ASSEMBLEE
PA606899;M.;Erwann;Binet;Binet;30/07/72;PM645545;ASSEMBLEE
PA345897;M.;Arnaud;Richard;Richard;30/04/71;PM645209;ASSEMBLEE
PA419;M.;René;Beaumont;BEAUMONT RENÉ;29/02/40;PM303903;SENAT
PA267469;M.;Michel;Piron;Piron;15/03/43;PM645314;ASSEMBLEE
PA606258;M.;Christophe;Cavard;Cavard;19/02/70;PM645347;ASSEMBLEE
PA223231;M.;François;Fortassin;FORTASSIN;02/08/39;PM223357;GROUPESENAT
PA606098;M.;Olivier;Marleix;Marleix;06/02/71;PM645171;ASSEMBLEE
PA642682;M.;Avi;Assouly;Assouly;05/06/50;PM676798;ASSEMBLEE
PA227017;Mme;Marie-France;Beaufils;BEAUFILS;22/11/46;PM227226;GROUPESENAT
PA642684;M.;Jean-Pierre;Maggi;Maggi;27/04/44;PM663906;ASSEMBLEE
PA369;M.;François;Baroin;BAROIN FRANÇOIS;21/06/65;PM645479;ASSEMBLEE
PA425322;Mme;Catherine;Deroche;DEROCHE CATHERINE;24/02/53;PM425326;GROUPESENAT
PA360;M.;Gilbert;Barbier;BARBIER GILBERT;03/03/40;PM318641;GROUPESENAT
PA642756;Mme;Laurence;Harribey;HARRIBEY_Laurence;08/02/53;PM736429;SENAT
PA267512;M.;Alain;Marc;MARC_Alain;29/01/57;PM645495;ASSEMBLEE
PA1253;M.;Jean-Paul;Émorine;EMORINE;20/03/44;PM286473;GROUPESENAT
PA642759;Mme;Laurence;Arribagé;Arribage;25/05/70;PM714035;GE
PA304108;Mme;Joëlle;Garriaud-Maylam;GARRIAUD-MAYLAM JOËLLE;20/03/55;PM429994;SENAT
PA2191;M.;Jean-Claude;Mignon;MignonJeC;02/02/50;PM645141;ASSEMBLEE
PA331990;M.;Alain;Rousset;Rousset;16/02/51;PM645449;ASSEMBLEE
PA2197;M.;Alain;Milon;MILON ALAIN;16/09/47;PM303963;SENAT
PA2200;M.;Gérard;Miquel;MIQUEL;17/06/46;PM227330;GROUPESENAT
PA256;Mme;Jacqueline;Alquier;ALQUIER JACQUELINE;29/07/47;PM303946;SENAT
PA304109;Mme;Christiane;Kammermann;KAMMERMANNCHRISTIANE;10/07/32;PM304315;GROUPESENAT
PA2426;M.;Jean-Pierre;Plancade;PLANCADE;02/08/49;PM430361;COMSENAT
PA333224;M.;Benoist;Apparu;Apparu;24/11/69;PM645354;ASSEMBLEE
PA227078;M.;Charles;Guené;GUENE;06/04/52;PM286503;GROUPESENAT
PA2420;M.;Xavier;Pintat;PINTAT XAVIER;15/03/54;PM286553;GROUPESENAT
PA2422;M.;Bernard;Piras;PIRAS;05/06/42;PM421492;ORGAINT
PA227076;Mme;Jacqueline;Gourault;GOURAULT;20/11/50;PM308954;COMSENAT
PA607619;M.;Paul;Molac;Molac;21/05/62;PM645383;ASSEMBLEE
PA605076;Mme;Marie-Françoise;Bechtel;Bechtel;19/03/46;PM645535;ASSEMBLEE
PA1816;M.;François;Lamy;LamyF;31/10/59;PM591231;MINISTERE
PA336316;M.;Jean-Claude;Bouchet;Bouchet;02/05/57;PM645298;ASSEMBLEE
PA227108;M.;Gérard;Bailly;BAILLYGERARD;28/01/40;PM286222;GROUPESENAT
PA332364;Mme;Geneviève;Fioraso;Fioraso;10/10/54;PM591200;MINISTERE
PA609465;M.;Jean-Philippe;Mallé;Malle;31/10/63;PM676808;ASSEMBLEE
PA610594;M.;Dominique;Lefebvre;Lefebvre;07/05/56;PM645185;ASSEMBLEE
PA610701;M.;Jean Jacques;Vlody;Vlody;19/08/67;PM645281;ASSEMBLEE
PA609513;Mme;Pascale;Boistard;Boistard;04/01/71;PM645228;ASSEMBLEE
PA1155;M.;René;Dosière;Dosiere;03/08/41;PM645285;ASSEMBLEE
PA340419;M.;Alain;Duran;DURAN_Alain;02/01/58;PM716227;CMP
PA267378;Mme;Geneviève;Levy;Levy;24/02/48;PM645266;ASSEMBLEE
PA334811;Mme;Pascale;Crozon;Crozon;29/05/44;PM645587;ASSEMBLEE
PA341272;M.;Yannick;Botrel;BOTREL YANNICK;09/12/51;PM430385;COMSENAT
PA609042;M.;Pascal;Cherki;Cherki;01/09/66;PM645076;ASSEMBLEE
PA607919;Mme;Anne-Lise;Dufour-Tonini;Dufour_Tonini_Anne_Lise;02/03/70;PM645478;ASSEMBLEE
PA324539;M.;Robert;Tropeano;TROPEANO ROBERT;20/04/39;PM516830;COMSENAT
PA1977;M.;Michel;Liebgott;Liebgott;15/02/58;PM645404;ASSEMBLEE
PA1979;Mme;Martine;Lignières-Cassou;LignieresCassou;22/02/52;PM645223;ASSEMBLEE
PA1978;Mme;Marie-Noëlle;Lienemann;LIENEMANN_MARIE_NOELLE_11077T;12/07/51;PM430042;SENAT
PA2848;M.;Alex;Türk;TURK;25/01/50;PM227344;GROUPESENAT
PA2844;M.;François;Trucy;TRUCY;09/06/31;PM286577;GROUPESENAT
PA1779;M.;Georges;Labazée;LABAZEE_GEORGES_11112D;16/06/43;PM429970;SENAT
PA1770;M.;Jacques;Kossowski;Kossowski;11/10/40;PM645069;ASSEMBLEE
PA1778;M.;Patrick;Labaune;Labaune;13/06/51;PM645093;ASSEMBLEE
PA610905;M.;Arnaud;Leroy;Leroy;23/04/76;PM645225;ASSEMBLEE
PA1158;M.;Michel;Doublet;DOUBLET;26/09/39;PM286466;GROUPESENAT
PA268051;M.;Serge;Grouard;Grouard;19/03/59;PM645234;ASSEMBLEE
PA267075;M.;Étienne;Blanc;Blanc E;29/08/54;PM645258;ASSEMBLEE
PA1152;M.;Dominique;Dord;Dord;01/09/59;PM645561;ASSEMBLEE
PA267989;M.;Bruno;Gilles;GILLES BRUNO;26/12/60;PM690846;CMP
PA1552;M.;Francis;Grignon;GRIGNON;03/01/44;PM314270;API
PA608158;M.;Nicolas;Bays;Bays;01/05/77;PM645174;ASSEMBLEE
PA536;M.;Jean-Pierre;Blazy;Blazy;24/11/49;PM645204;ASSEMBLEE
PA610954;Mme;Daphna;Poznanski-Benhamou;PoznanskiBenhamou;03/06/50;PM645231;ASSEMBLEE
PA332796;M.;Michel;Ménard;Menard;20/05/61;PM711239;MISINFO
PA267188;Mme;Martine;Carrillon-Couvreur;CarrillonCouvreur;21/03/48;PM645410;ASSEMBLEE
PA428;M.;Michel;Bécot;BECOT;10/10/39;PM303904;SENAT
PA267327;M.;Damien;Meslot;Meslot;11/11/64;PM645031;ASSEMBLEE
PA267457;M.;Élie;Aboud;Aboud;12/10/59;PM687216;ASSEMBLEE
PA267673;M.;Philippe;Folliot;Folliot;14/07/63;PM645249;ASSEMBLEE
PA267328;M.;Cédric;Perrin;PERRIN_Cedric;20/01/74;PM703547;SENAT
PA267459;Mme;Claude;Greff;Greff;02/06/54;PM645564;ASSEMBLEE
PA267695;Mme;Patricia;Adam;Adam P;15/04/53;PM645213;ASSEMBLEE
PA642695;M.;Éric;Bothorel;Bothorel;20/10/66;PM717127;ASSEMBLEE
PA607310;M.;Luc;Belot;Belot;06/09/74;PM645297;ASSEMBLEE
PA642699;M.;Alain;Ballay;Ballay;19/02/54;PM716410;CMP
PA610045;M.;Malek;Boutih;Boutih;27/10/64;PM645041;ASSEMBLEE
PA606225;M.;Patrice;Prat;Prat;28/11/65;PM645336;ASSEMBLEE
PA267527;M.;Martial;Saddier;Saddier;15/10/69;PM645555;ASSEMBLEE
PA642741;Mme;Claire;Mallejac;Mallejac;08/07/67;PM718622;ASSEMBLEE
PA642743;M.;Vincent;Feltesse;Feltesse;04/04/67;PM676801;ASSEMBLEE
PA304113;M.;Richard;Yung;YUNG RICHARD;22/09/47;PM304267;SENAT
PA332950;Mme;Dominique;Orliac;Orliac;15/03/52;PM645251;ASSEMBLEE
PA2430;M.;Philippe;Plisson;Plisson;12/01/51;PM645411;ASSEMBLEE
PA2435;M.;Hervé;Poher;POHER HERVÉ;19/05/52;PM693115;COMSENAT
PA332886;M.;Olivier;Carré;Carre;16/03/61;PM645226;ASSEMBLEE
PA2503;M.;Dominique;Raimbourg;Raimbourg;28/04/50;PM645187;ASSEMBLEE
PA2505;M.;Henri;de Raincourt;RAINCOURT HENRI (DE);17/11/48;PM286559;GROUPESENAT
PA606793;M.;Laurent;Baumel;Baumel;13/08/65;PM645570;ASSEMBLEE
PA2502;M.;Jean-Pierre;Raffarin;RAFFARIN;03/08/48;PM313923;SENAT
PA703106;Mme;Hermeline;Malherbe;MALHERBE_HERMELINE;18/02/69;PM703108;SENAT
PA345619;M.;Edouard;Philippe;Philippe;28/11/70;PM645124;ASSEMBLEE
PA605036;M.;Damien;Abad;Abad;05/04/80;PM645278;ASSEMBLEE
PA608038;M.;Yves;Goasdoué;Goasdoue;22/08/59;PM645075;ASSEMBLEE
PA609520;Mme;Barbara;Pompili;Pompili;13/06/75;PM645233;ASSEMBLEE
PA605782;M.;Laurent;Marcangeli;Marcangeli;10/12/80;PM645291;ASSEMBLEE
PA1942;M.;Jean-Claude;Lenoir;LENOIR_JEAN_CLAUDE_11100Y;27/12/44;PM429985;SENAT
PA1527;M.;Alain;Gournac;GOURNAC;13/09/43;PM430037;SENAT
PA1946;M.;Jean;Leonetti;Leonetti ;09/07/48;PM645437;ASSEMBLEE
PA610002;Mme;Eva;Sas;Sas;13/08/70;PM645053;ASSEMBLEE
PA815;M.;Gérard;Charasse;Charasse;26/03/44;PM645544;ASSEMBLEE
PA810;M.;Jean-Paul;Chanteguet;Chanteguet;09/12/49;PM645557;ASSEMBLEE
PA2859;M.;Daniel;Vaillant;Vaillant;19/07/49;PM645087;ASSEMBLEE
PA608328;Mme;Ségolène;Neuville;Neuville;21/06/70;PM645312;ASSEMBLEE
PA1496;M.;Jean;Glavany;Glavany;14/05/49;PM645273;ASSEMBLEE
PA1390;M.;Yann;Gaillard;GAILLARD;09/10/36;PM421483;ORGAINT
PA608495;M.;Thierry;Braillard;Braillard;24/01/64;PM645569;ASSEMBLEE
PA1498;M.;Claude;Goasguen;Goasguen;12/03/45;PM645080;ASSEMBLEE
PA1122;M.;Yves;Détraigne;DETRAIGNE;21/12/54;PM318656;GROUPESENAT
PA605499;M.;Olivier;Ferrand;Ferrand;08/11/69;PM645523;ASSEMBLEE
PA609709;Mme;Marion;Maréchal-Le Pen;MarechalLePen;10/12/89;PM645302;ASSEMBLEE
PA607892;M.;Jean-Pierre;Allossery;Allossery;31/07/45;PM711245;MISINFO
PA267450;M.;Rémi;Delatte;DelatteR;09/06/56;PM645452;ASSEMBLEE
PA342665;M.;Bernard;Bonne;BONNE_Bernard;18/09/48;PM736382;SENAT
PA1124;M.;Patrick;Devedjian;Devedjian;26/08/44;PM645067;ASSEMBLEE
PA607256;Mme;Valérie;Corre;Corre;17/05/67;PM645247;ASSEMBLEE
PA333285;M.;Guillaume;Garot;Garot;29/05/66;PM645365;ASSEMBLEE
PA1012;M.;Charles;de la Verpillière;Verpilliere (de la);31/05/54;PM645168;ASSEMBLEE
PA1233;M.;Jean-Yves;Dusserre;DUSSERRE_Jean_Yves;01/01/53;PM703717;SENAT
PA267200;M.;Sébastien;Huyghe;Huyghe;25/10/69;PM645502;ASSEMBLEE
PA528;M.;Jean;Bizet;BIZET;30/08/47;PM286442;GROUPESENAT
PA1019;Mme;Isabelle;Debré;DEBRE ISABELLE;23/05/57;PM304305;GROUPESENAT
PA610924;Mme;Claudine;Schmid;Schmid;13/09/55;PM645227;ASSEMBLEE
PA331146;M.;Sauveur;Gandolfi-Scheit;GandolfiScheit;19/01/47;PM645306;ASSEMBLEE
PA607090;M.;Jean-Pierre;Vigier;VigierJ;22/10/69;PM645143;ASSEMBLEE
PA609845;Mme;Catherine;Beaubatie;Beaubatie;10/02/64;PM645339;ASSEMBLEE
PA343623;Mme;Anne;Grommerch;Grommerch;11/12/70;PM645408;ASSEMBLEE
PA642910;Mme;Gilda;Hobert;Hobert;02/12/48;PM711252;MISINFO
PA606412;Mme;Sandrine;Doucet;Doucet;10/09/59;PM645400;ASSEMBLEE
PA437;M.;Jean-Pierre;Bel;BEL;30/12/51;PM430214;SENAT
PA267330;M.;Michel;Zumkeller;Zumkeller;21/01/66;PM645032;ASSEMBLEE
PA267336;M.;Joël;Giraud;Giraud;14/10/59;PM645424;ASSEMBLEE
PA267689;M.;Camille;de Rocca Serra;RoccaSerra (de);21/05/54;PM645295;ASSEMBLEE
PA334160;M.;Frédéric;Cuvillier;Cuvillier;09/12/68;PM591255;MINISTERE
PA335017;M.;Christophe;Sirugue;Sirugue;14/08/66;PM645607;ASSEMBLEE
PA267680;M.;Charles-Ange;Ginesy;Ginesy-CA;14/05/56;PM645427;ASSEMBLEE
PA606230;M.;Fabrice;Verdier;Verdier;16/12/68;PM645342;ASSEMBLEE
PA429878;Mme;Karine;Claireaux;CLAIREAUX_KARINE_11023D;15/11/63;PM429916;SENAT
PA331567;Mme;Laure;de La Raudière;LaRaudiere (de);12/02/65;PM645186;ASSEMBLEE
PA429872;M.;Jacques;Chiron;CHIRON_JACQUES_C4832;03/10/49;PM429918;SENAT
PA267534;Mme;Luce;Pane;Pane;28/09/55;PM645108;ASSEMBLEE
PA429870;M.;Jean-Noël;Cardoux;CARDOUX_JEAN_NOEL_11103C;18/12/46;PM429969;SENAT
PA429873;Mme;Corinne;Bouchoux;BOUCHOUX_CORINNE_11029K;05/01/64;PM429945;SENAT
PA429871;M.;Christian;Favier;FAVIER_CHRISTIAN_11034G;20/02/51;PM430050;SENAT
PA429876;M.;Pierre;Camani;CAMANI_PIERRE_11095V;19/02/52;PM429950;SENAT
PA429874;M.;Michel;Savin;SAVIN_MICHEL_C4802;25/11/58;PM430027;SENAT
PA605758;Mme;Sophie;Dessus;Dessus;24/09/55;PM711244;MISINFO
PA429877;M.;Michel;Fontaine;FONTAINE_MICHEL_11020A;06/05/52;PM430000;SENAT
PA333134;M.;Guénhaël;Huet;Huet;30/07/56;PM645341;ASSEMBLEE
PA267532;M.;Marc;Francina;Francina;02/02/48;PM645558;ASSEMBLEE
PA342935;Mme;Marianne;Dubois;DuboisM;17/12/57;PM645244;ASSEMBLEE
PA605922;Mme;Brigitte;Allain;Allain;23/04/56;PM645493;ASSEMBLEE
PA406065;M.;François;Pillet;PILLET FRANÇOIS;13/05/50;PM407158;GROUPESENAT
PA334654;M.;Éric;Straumann;Straumann;17/08/64;PM645596;ASSEMBLEE
PA267895;M.;Jérôme;Chartier;Chartier;14/11/66;PM645199;ASSEMBLEE
PA235;M.;Philippe;Adnot;ADNOT;25/08/45;PM318636;GROUPESENAT
PA230;M.;Bernard;Accoyer;Accoyer;12/08/45;PM645553;ASSEMBLEE
PA2227;M.;Aymeri;de Montesquiou;MONTESQUIOU (DE);07/07/42;PM430348;COMSENAT
PA2229;M.;Pierre;Morange;Morange;08/09/56;PM645205;ASSEMBLEE
PA2083;M.;Hervé;Mariton;Mariton;05/11/58;PM645105;ASSEMBLEE
PA2089;M.;Alain;Marsaud;Marsaud;08/03/49;PM645037;ASSEMBLEE
PA215169;Mme;Claire-Lise;Campion;CAMPION;27/07/51;PM215172;GROUPESENAT
PA610729;Mme;Monique;Orphé;Orphe;15/10/64;PM645288;ASSEMBLEE
PA2081;M.;Philippe;Marini;MARINI;28/01/50;PM286535;GROUPESENAT
PA332305;M.;Jean-Patrick;Gille;Gille;28/01/62;PM712871;GE
PA2538;M.;Bruno;Retailleau;RETAILLEAU BRUNO;20/11/60;PM303971;SENAT
PA609332;M.;Olivier;Faure;Faure;18/08/68;PM645147;ASSEMBLEE
PA609442;M.;Jean-Marie;Tétart;Tetart;01/09/49;PM645214;ASSEMBLEE
PA2713;M.;Roger-Gérard;Schwartzenberg;Schwartzenberg;17/04/43;PM645148;ASSEMBLEE
PA2084;M.;Alain;Marleix;Marleix;02/01/46;PM645407;ASSEMBLEE
PA1838;M.;Jean;Lassalle;Lassalle;03/05/55;PM645238;ASSEMBLEE
PA2155;M.;Gérard;Menuel;Menuel;07/05/52;PM714100;MISINFO
PA935;M.;Raymond;Couderc;COUDERC RAYMOND;16/09/46;PM395151;GROUPESENAT
PA609535;M.;Jean-Claude;Buisine;Buisine;14/06/47;PM645236;ASSEMBLEE
PA426327;M.;André;Reichardt;REICHARDT  ANDRÉ;05/12/49;PM426333;GROUPESENAT
PA1954;M.;Pierre;Lequiller;Lequiller;04/12/49;PM645195;ASSEMBLEE
PA421497;Mme;Renée;Nicoux;NICOUX RENÉE;26/03/51;PM421499;SENAT
PA1487;Mme;Éliane;Giraud;GIRAUD_ELIANE;12/03/52;PM701208;SENAT
PA331442;M.;Franck;Reynier;Reynier;20/10/65;PM645100;ASSEMBLEE
PA608920;Mme;Seybah;Dagoma;Dagoma;09/06/78;PM645060;ASSEMBLEE
PA335532;Mme;George;Pau-Langevin;PauLangevin;19/10/48;PM591222;MINISTERE
PA608310;M.;Jacques;Cresta;Cresta;16/02/55;PM645293;ASSEMBLEE
PA605804;M.;Laurent;Grandguillaume;Grandguillaume;20/01/78;PM645450;ASSEMBLEE
PA267091;Mme;Frédérique;Massat;Massat;14/01/64;PM645467;ASSEMBLEE
PA1713;M.;Pierre;Jarlier;JARLIER;14/07/54;PM421651;DELEGSENAT
PA324607;M.;Marcel;Rainaud;RAINAUD MARCEL;01/04/40;PM324909;GROUPESENAT
PA608172;Mme;Christine;Pires Beaune;PiresBeaune;06/10/64;PM645197;ASSEMBLEE
PA1710;M.;Serge;Janquin;Janquin;05/08/43;PM645166;ASSEMBLEE
PA608778;Mme;Béatrice;Santais;Santais;17/09/64;PM645565;ASSEMBLEE
PA330008;M.;Xavier;Breton;Breton;25/11/62;PM645164;ASSEMBLEE
PA791;M.;Gérard;César;CESAR;19/12/34;PM286455;GROUPESENAT
PA267057;M.;Céleste;Lett;Lett;07/05/51;PM645399;ASSEMBLEE
PA623;M.;Christian;Bourquin;BOURQUINCHRISTIAN_11018G;07/10/54;PM429912;SENAT
PA1001;M.;Marc-Philippe;Daubresse;DAUBRESSE;01/08/53;PM645499;ASSEMBLEE
PA1229;Mme;Josette;Durrieu;DURRIEU;20/03/37;PM227317;GROUPESENAT
PA610936;M.;Pierre-Yves;Le Borgn';LeBorgn';04/11/64;PM645230;ASSEMBLEE
PA2883;M.;Michel;Vauzelle;Vauzelle;15/08/44;PM645512;ASSEMBLEE
PA335319;Mme;Sandrine;Mazetier;Mazetier;16/12/66;PM645070;ASSEMBLEE
PA267835;M.;Jean-Yves;Le Bouillonnec;LeBouillonnec;15/09/50;PM645134;ASSEMBLEE
PA610804;M.;Jonas;Tahuaitu;Tahuaitu;16/08/44;PM645313;ASSEMBLEE
PA643183;Mme;Stéphanie;Pernod Beaudon;PernodBeaudon;13/10/78;PM714416;COMPER
PA643165;M.;Renaud;Gauquelin;Gauquelin;07/11/54;PM712996;CNPE
PA267306;M.;André;Chassaigne;Chassaigne;02/07/50;PM645210;ASSEMBLEE
PA610850;Mme;Corinne;Narassiguin;Narassiguin;07/03/75;PM645035;ASSEMBLEE
PA267233;M.;Christophe;Bouillon;Bouillon;04/03/69;PM645115;ASSEMBLEE
PA429866;M.;Joël;Labbé;LABBE_JOEL_C4641;18/10/52;PM429954;SENAT
PA429869;M.;Vincent;Delahaye;DELAHAYE_VINCENT_11070L;23/08/59;PM429926;SENAT
PA429861;M.;Maurice;Vincent;VINCENT_MAURICE_C4858;20/09/55;PM429919;SENAT
PA429868;Mme;Danielle;Michel;MICHELDANIELLE_C4522;03/04/47;PM429914;SENAT
PA429867;M.;Vincent;Éblé;EBLE_VINCENT_11074Q;15/10/57;PM429921;SENAT
PA429863;M.;Jean-Jacques;Lasserre;LASSERRE_JEAN_JACQUES_11111C;11/03/44;PM429974;SENAT
PA429862;Mme;Caroline;Cayeux;CAYEUX_CAROLINE_11044J;01/11/48;PM430005;SENAT
PA429864;M.;Dominique;Bailly;BAILLYDOMINIQUE_11039M;02/01/60;PM429937;SENAT
PA429865;M.;Philippe;Kaltenbach;KALTENBACH_PHILIPPE_11084S;09/01/66;PM430061;SENAT
PA429860;M.;Jean-Yves;Leconte;LECONTE_JEAN_YVES_11026G;31/10/66;PM429990;SENAT
PA331835;Mme;Monique;Iborra;Iborra;08/03/45;PM645380;ASSEMBLEE
PA227595;M.;Joël;Billard;BILLARD JOEL;21/03/53;PM286441;GROUPESENAT
PA642764;M.;Joël;Aviragnet;Aviragnet;16/06/56;PM702198;ASSEMBLEE
PA2183;M.;Jean-Pierre;Michel;MICHELJEAN-PIERRE;05/08/38;PM304128;SENAT
PA336439;M.;Jean-Michel;Clément;Clement;31/10/54;PM645333;ASSEMBLEE
PA607846;M.;Gérald;Darmanin;Darmanin;11/10/82;PM645441;ASSEMBLEE
PA2099;M.;Patrice;Martin-Lalande;MartinLalande;02/12/47;PM645101;ASSEMBLEE
PA2098;M.;Philippe Armand;Martin;Martin Ph(Marne);28/04/49;PM645351;ASSEMBLEE
PA2236;M.;Hervé;Morin;Morin;17/08/61;PM645149;ASSEMBLEE
PA332843;Mme;Marie-Odile;Bouillé;Bouille;13/10/50;PM711247;MISINFO
PA643157;M.;Philippe;Naillet;Naillet;14/08/60;PM712723;CNPS
PA2528;M.;Daniel;Reiner;REINER;17/01/41;PM227335;GROUPESENAT
PA2529;M.;Jean-Luc;Reitzer;Reitzer;29/12/51;PM645608;ASSEMBLEE
PA610481;M.;Jean-Luc;Laurent;Laurent;23/06/57;PM645131;ASSEMBLEE
PA334843;M.;Patrice;Verchère;Verchere;29/12/73;PM645589;ASSEMBLEE
PA1828;M.;Gérard;Larcher;LARCHER GERARD;14/09/49;PM396527;GROUPESENAT
PA259;Mme;Nicole;Ameline;Ameline;04/07/52;PM645395;ASSEMBLEE
PA332206;M.;Jean-René;Marsac;Marsac;21/04/54;PM645538;ASSEMBLEE
PA610733;M.;Thierry;Robert;RobertT;01/04/77;PM645290;ASSEMBLEE
PA2700;M.;François;Scellier;Scellier;07/05/36;PM645196;ASSEMBLEE
PA2707;M.;André;Schneider;Schneider;03/01/47;PM645575;ASSEMBLEE
PA1308;M.;Jean-Jacques;Filleul;FILLEUL_JEAN_JACQUES_11107G;22/06/43;PM429971;SENAT
PA609016;M.;Denis;Baupin;Baupin;02/06/62;PM645074;ASSEMBLEE
PA608011;M.;Joaquim;Pueyo;Pueyo;30/05/50;PM645066;ASSEMBLEE
PA605278;M.;Christophe;Léonard;Leonard;31/01/71;PM645462;ASSEMBLEE
PA834;M.;Yves;Chastan;CHASTAN YVES;20/04/48;PM516778;COMSENAT
PA677484;M.;André;Vairetto;VAIRETTO ANDRÉ;20/01/60;PM677486;COMSENAT
PA313208;M.;François;Vendasi;VENDASI FRANÇOIS;24/06/40;PM313273;GROUPESENAT
PA608016;Mme;Véronique;Louwagie;Louwagie;20/03/61;PM645071;ASSEMBLEE
PA610125;M.;Jean-Christophe;Fromantin;Fromantin;30/08/62;PM645088;ASSEMBLEE
PA2936;M.;Michel;Voisin;VoisinM ;06/10/44;PM645272;ASSEMBLEE
PA230329;M.;Jean-François;Lamour;Lamour J;02/02/56;PM645079;ASSEMBLEE
PA608785;Mme;Bernadette;Laclais;Laclais;10/03/67;PM645567;ASSEMBLEE
PA341339;Mme;Colette;Langlade;Langlade;20/06/56;PM645496;ASSEMBLEE
PA331014;Mme;Catherine;Quéré;Quere;16/03/48;PM645422;ASSEMBLEE
PA330546;Mme;Marie-Lou;Marcel;Marcel;21/08/53;PM645492;ASSEMBLEE
PA1585;M.;Jean-Jacques;Guillet;Guillet;16/10/46;PM645094;ASSEMBLEE
PA1037;M.;Robert;del Picchia;DEL PICCHIA;10/11/42;PM443937;COMSENAT
PA1214;M.;Yves;Durand;Durand Y;06/06/46;PM645446;ASSEMBLEE
PA1032;M.;Pascal;Deguilhem;Deguilhem;09/02/56;PM645488;ASSEMBLEE
PA1031;M.;Lucien;Degauchy;Degauchy;11/06/37;PM645044;ASSEMBLEE
PA508;Mme;Gisèle;Biémouret;Biemouret;16/06/52;PM645397;ASSEMBLEE
PA631;M.;Michel;Boutant;BOUTANT MICHEL;23/11/56;PM683581;DELEGSENAT
PA607509;Mme;Chaynesse;Khirouni;Khirouni;17/03/68;PM645369;ASSEMBLEE
PA2895;M.;Michel;Vergnier;Vergnier;25/11/46;PM645485;ASSEMBLEE
PA1642;M.;Edmond;Hervé;HERVE EDMOND;03/12/42;PM421659;DELEGSENAT
PA643196;M.;Romain;Joron;Joron;13/09/68;PM713241;GP
PA2893;M.;Paul;Vergès;VERGES;05/03/25;PM430068;SENAT
PA267042;M.;Yannick;Favennec Becot;FavennecBecot;12/08/58;PM645368;ASSEMBLEE
PA610830;M.;Daniel;Gibbes;Gibbes;08/01/68;PM645039;ASSEMBLEE
PA330788;M.;Bernard;Reynès;Reynes;18/10/53;PM645510;ASSEMBLEE
PA643177;M.;David;Comet;Comet;25/07/73;PM713158;GP
PA267822;M.;Jacques Alain;Bénisti;Benisti;10/04/52;PM645151;ASSEMBLEE
PA606745;Mme;Isabelle;Bruneau;Bruneau;26/03/66;PM645560;ASSEMBLEE
PA606212;M.;Gilbert;Collard;Collard;03/02/48;PM645330;ASSEMBLEE
PA266797;M.;Philippe;Gosselin;Gosselin;23/10/66;PM645338;ASSEMBLEE
PA1459;M.;Bernard;Gérard;Gerard B;29/08/53;PM645518;ASSEMBLEE
PA267317;M.;Dominique;Le Mèner;LeMener;12/11/58;PM645623;ASSEMBLEE
PA606693;Mme;Isabelle;Le Callennec;LeCallennec;14/10/66;PM645542;ASSEMBLEE
PA590031;M.;Kader;Arif;Arif;03/07/59;PM591261;MINISTERE
PA267227;Mme;Arlette;Grosskost;Grosskost;19/07/53;PM645618;ASSEMBLEE
PA267954;Mme;Danièle;Hoffman-Rispal;HoffmanRispal;22/06/51;PM676802;ASSEMBLEE
PA651963;Mme;Hélène;Lipietz;LIPIETZ HÉLÈNE;07/05/58;PM651971;GROUPESENAT
PA695829;Mme;Françoise;Boog;BOOG FRANÇOISE;02/08/60;PM695830;GROUPESENAT
PA267551;M.;Jacques;Lamblin;Lamblin;29/08/52;PM645372;ASSEMBLEE
